SiteID,Latitude,Longitude,A_As,A_Pb,A_Se
7999,31.4689,-100.3872,3.40,10.60,<0.2
8028,29.542,-96.2021,3.30,15.70,<0.2
8056,33.3441,-97.6198,2.20,6.20,<0.2
8063,34.3784,-100.4492,2.90,12.50,<0.2
8068,30.353,-102.4235,8.20,17.80,0.30
8111,30.8432,-104.7499,6.80,16.30,<0.2
8140,28.6942,-98.0126,7.40,12.30,<0.2
8184,33.0297,-96.6573,12.90,23.90,0.50
8204,31.4836,-96.4063,2.90,10.20,<0.2
8220,29.1906,-98.041,4.60,17.70,<0.2
8319,32.6969,-102.3091,2.50,6.10,<0.2
8324,30.6503,-104.4664,6.80,15.80,0.20
8348,29.4475,-97.2252,7.10,11.60,0.30
8376,31.4952,-98.0868,5.70,11.00,0.20
8388,30.0653,-102.345,5.90,11.80,0.20
8440,33.302,-95.2318,3.60,14.00,0.30
8460,31.4335,-95.0866,5.50,18.10,0.30
8476,28.9412,-99.3524,4.40,14.70,<0.2
8540,27.4009,-97.9189,2.90,11.20,<0.2
8555,36.4404,-100.3854,7.00,18.40,0.20
8575,33.7017,-102.7404,3.00,8.30,<0.2
8580,29.2086,-102.9912,6.20,10.90,0.30
8632,31.7874,-99.4361,9.30,22.30,0.40
8644,28.896,-100.2907,#VALUE!,#VALUE!,#VALUE!
8696,33.8276,-97.2672,8.00,25.00,0.60
8732,28.501,-97.0677,#VALUE!,#VALUE!,#VALUE!
8760,30.1077,-94.0084,5.60,23.40,0.40
8767,33.228,-100.5159,2.40,9.20,<0.2
8796,30.3554,-96.0932,5.60,18.50,0.30
8811,36.14,-102.97,3.50,12.10,<0.2
8831,35.0559,-101.0986,7.10,12.20,<0.2
8836,30.6012,-103.303,8.30,16.00,0.30
8888,32.1232,-100.0662,4.00,9.90,<0.2
8900,30.0866,-100.3694,10.80,20.70,0.60
8943,31.2223,-103.8041,7.30,18.20,<0.2
8988,27.7701,-99.007,5.00,13.30,<0.2
9023,31.1566,-102.1038,6.10,12.80,0.20
9036,31.1989,-94.4444,11.10,23.00,0.50
9052,29.943,-95.225,4.60,27.90,0.60
9080,33.3042,-98.0899,7.80,21.70,0.30
9087,34.7776,-101.978,5.70,14.30,0.20
9135,31.6699,-105.3723,5.10,12.80,<0.2
9144,32.3241,-98.1132,3.20,9.00,<0.2
9164,30.7797,-99.8961,6.80,15.70,0.20
9208,32.4661,-95.4838,3.20,9.20,<0.2
9228,31.7784,-96.9995,4.80,14.80,0.30
9244,30.8347,-97.4662,7.90,18.40,0.20
9308,27.3221,-98.9732,#VALUE!,#VALUE!,#VALUE!
9343,32.3095,-102.6161,2.60,5.10,<0.2
9348,29.8956,-104.0328,3.70,17.70,<0.2
9400,31.4558,-98.2729,7.70,12.90,0.30
9412,30.6437,-101.4731,6.80,16.00,0.30
9484,30.9016,-94.6851,3.80,14.10,<0.2
9500,29.4825,-98.7937,9.90,17.60,0.70
9556,31.5958,-106.2387,8.60,21.30,0.30
9564,27.9346,-97.647,#VALUE!,#VALUE!,#VALUE!
9579,35.9971,-101.4652,5.80,16.90,<0.2
9599,33.7397,-101.9566,5.00,14.80,0.30
9604,29.9106,-104.0393,3.90,16.20,<0.2
9656,31.2396,-99.377,8.10,13.90,0.20
9668,29.5106,-100.9097,6.60,10.30,0.30
9756,27.2728,-97.804,1.40,7.60,<0.2
9784,30.7129,-94.5047,1.30,5.60,<0.2
9791,32.2107,-100.1795,7.80,16.20,0.30
9820,30.009,-96.2422,4.10,18.00,0.30
9848,34.0221,-98.9042,6.50,37.80,0.20
9855,34.8169,-100.3473,3.90,11.10,<0.2
9868,33.1108,-94.4342,2.10,5.50,<0.2
9912,32.6974,-98.6689,5.90,14.60,0.20
10012,28.5142,-98.9267,5.60,13.40,<0.2
10047,31.6102,-100.5845,5.20,12.70,<0.2
10068,31.9982,-106.423,7.10,18.20,<0.2
10076,30.6643,-95.1498,1.70,8.80,<0.2
10104,33.8025,-97.6138,1.70,6.10,<0.2
10111,33.6115,-100.3238,2.90,16.70,<0.2
10159,31.4856,-104.4169,5.30,10.60,0.60
10188,30.2633,-99.4813,9.10,22.10,0.50
10232,33.0797,-96.3289,9.90,26.60,0.30
10252,30.8587,-96.206,2.90,10.30,<0.2
10268,29.9009,-98.1121,8.60,27.30,0.70
10367,33.2771,-101.8328,5.10,11.00,<0.2
10372,29.4898,-104.0752,5.70,12.10,0.20
10424,31.475,-97.748,2.70,9.50,<0.2
10488,33.2079,-94.5536,5.00,12.30,0.90
10508,31.4476,-95.7559,5.80,19.70,<0.2
10524,28.872,-99.398,5.10,13.30,<0.2
10559,33.0508,-101.4157,9.20,14.70,<0.2
10588,28.951,-95.5556,5.40,22.10,0.30
10603,35.6829,-101.5932,4.40,13.50,<0.2
10623,34.1321,-102.7304,2.30,7.00,<0.2
10628,29.6765,-103.1694,7.10,19.50,0.30
10680,32.6509,-99.3227,13.10,35.10,0.40
10692,29.7465,-100.8763,7.90,23.20,0.60
10735,31.3856,-102.943,6.10,6.20,1.20
10780,26.4908,-98.6616,3.20,10.40,<0.2
10815,31.0368,-102.4425,6.80,14.60,0.40
10828,31.0907,-93.8718,3.30,9.00,<0.2
10844,30.6842,-96.8681,3.00,7.80,<0.2
10872,33.7308,-99.669,4.60,17.70,<0.2
10879,35.3411,-102.4353,4.30,10.80,<0.2
10936,32.4927,-97.9279,6.40,12.90,<0.2
11000,32.5483,-94.8332,3.00,8.20,<0.2
11036,27.8418,-99.7346,9.00,13.30,0.40
11071,31.6564,-101.0181,6.40,14.10,0.40
11084,32.8497,-94.2082,3.10,10.50,<0.2
11100,28.7571,-97.1439,4.30,9.10,<0.2
11135,33.6277,-100.8262,8.20,15.70,0.40
11183,31.1857,-105.3312,5.20,19.30,<0.2
11212,29.2619,-98.577,4.80,9.80,<0.2
11256,32.0937,-96.5698,6.20,28.20,0.40
11276,31.0656,-95.3368,3.40,15.10,<0.2
11292,30.5935,-98.3372,1.50,24.60,<0.2
11356,27.9186,-98.1527,4.50,11.10,<0.2
11371,36.3282,-101.2668,6.60,19.60,<0.2
11391,33.9489,-101.5013,6.20,15.10,0.30
11448,30.9203,-99.236,3.50,10.10,<0.2
11460,29.5528,-100.6315,6.10,13.90,0.30
